月,日,曜日,開始,終了,種別,活動内容,午前,午後,場所,メモ
6,8,月,16:00,18:30,練習,練習,,ピロティ,,
6,9,火,,,OFF,OFF,,,,
6,10,水,15:15,18:00,練習,練習,,ピロティ,,
6,11,木,,,OFF,OFF,,,,
6,12,金,16:00,18:30,練習,練習,,ピロティ,,
6,13,土,,,試合,練習試合 VS 岡津学院,,,保土ヶ谷球場,詳細は別紙にて
6,14,日,7:00,13:00,試合,練習試合 VS 大谷,,グランド,,
6,15,月,,,テスト,テスト休み,,,,
6,16,火,,,テスト,テスト休み,,,,
6,17,水,,,テスト,テスト休み,,,,
6,18,木,,,テスト,テスト,,,,
6,19,金,13:00,15:30,練習,練習（弁当持ち）,,グランド,,
6,20,土,,,その他,B-PARK,,,保土ヶ谷球場,詳細は別紙にて
6,21,日,7:00,13:00,試合,練習試合 VS 鴨志田,,グランド,,
6,22,月,,,OFF,OFF,,,,
6,23,火,16:00,18:30,練習,練習,,グランド,,
6,24,水,15:15,18:00,練習,練習,,ピロティ,,
6,25,木,16:00,18:30,練習,練習,,グランド,,
6,26,金,16:00,18:30,練習,練習,,ピロティ,,
6,27,土,,,試合,横浜市総合体育大会2回戦（初戦）,,,,詳細は別紙にて
6,28,日,,,試合,横浜市総合体育大会2回戦 予備日,,（グランド）,,
6,29,月,16:00,18:30,練習,練習,,ピロティ,,
6,30,火,15:15,18:00,練習,練習,,グランド,,
7,1,水,,,OFF,OFF,,,,
7,2,木,16:00,18:30,練習,練習,,グランド,,
7,3,金,16:00,18:30,練習,練習,,,,
7,4,土,,,試合,横浜市総合体育大会3回戦,,,,詳細は別紙にて
7,5,日,,,試合,横浜市総合体育大会3回戦 予備日,,（グランド）,,
